# Force       
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001        	(1.059306e-02 1.059306e-02 -2.590060e-06)	(1.059383e-02 1.059383e-02 -2.518257e-05)	(-7.703550e-07 -7.703638e-07 2.259251e-05)
0.0002        	(1.335722e-02 1.335722e-02 -1.770969e-05)	(1.335840e-02 1.335840e-02 -6.315415e-05)	(-1.179821e-06 -1.179836e-06 4.544446e-05)
0.0003        	(1.521311e-02 1.521311e-02 -4.302793e-05)	(1.521457e-02 1.521457e-02 -1.114577e-04)	(-1.461342e-06 -1.461363e-06 6.842974e-05)
0.0004        	(1.742029e-02 1.742029e-02 -7.361238e-05)	(1.742191e-02 1.742191e-02 -1.654635e-04)	(-1.623880e-06 -1.623903e-06 9.185114e-05)
0.0005        	(1.994218e-02 1.994218e-02 -1.061230e-04)	(1.994387e-02 1.994387e-02 -2.219882e-04)	(-1.687112e-06 -1.687137e-06 1.158652e-04)
0.0006        	(2.269731e-02 2.269731e-02 -1.384196e-04)	(2.269898e-02 2.269898e-02 -2.788369e-04)	(-1.672343e-06 -1.672366e-06 1.404173e-04)
0.0007        	(2.560475e-02 2.560476e-02 -1.688392e-04)	(2.560636e-02 2.560637e-02 -3.342296e-04)	(-1.600686e-06 -1.600745e-06 1.653904e-04)
0.0008        	(2.865950e-02 2.865951e-02 -1.958571e-04)	(2.866099e-02 2.866100e-02 -3.866272e-04)	(-1.492153e-06 -1.492328e-06 1.907700e-04)
0.0009        	(3.184183e-02 3.184183e-02 -2.184040e-04)	(3.184319e-02 3.184319e-02 -4.348269e-04)	(-1.363328e-06 -1.363574e-06 2.164229e-04)
0.001         	(3.513906e-02 3.513905e-02 -2.360084e-04)	(3.514028e-02 3.514028e-02 -4.783526e-04)	(-1.228241e-06 -1.228529e-06 2.423442e-04)
0.0011        	(3.853629e-02 3.853629e-02 -2.488818e-04)	(3.853738e-02 3.853739e-02 -5.172872e-04)	(-1.096557e-06 -1.096885e-06 2.684054e-04)
0.0012        	(4.201882e-02 4.201883e-02 -2.565468e-04)	(4.201980e-02 4.201981e-02 -5.511628e-04)	(-9.763583e-07 -9.764597e-07 2.946159e-04)
0.0013        	(4.559454e-02 4.559455e-02 -2.599031e-04)	(4.559541e-02 4.559542e-02 -5.807268e-04)	(-8.710616e-07 -8.709013e-07 3.208237e-04)
0.0014        	(4.923602e-02 4.923602e-02 -2.586534e-04)	(4.923680e-02 4.923680e-02 -6.057595e-04)	(-7.844290e-07 -7.839120e-07 3.471061e-04)
0.0015        	(5.294201e-02 5.294202e-02 -2.535995e-04)	(5.294273e-02 5.294274e-02 -6.268424e-04)	(-7.160397e-07 -7.152542e-07 3.732429e-04)
0.0016        	(5.668208e-02 5.668211e-02 -2.448190e-04)	(5.668274e-02 5.668277e-02 -6.442022e-04)	(-6.670706e-07 -6.657816e-07 3.993832e-04)
0.0017        	(6.046910e-02 6.046910e-02 -2.329088e-04)	(6.046973e-02 6.046974e-02 -6.582937e-04)	(-6.352695e-07 -6.336148e-07 4.253849e-04)
0.0018        	(6.430380e-02 6.430381e-02 -2.180869e-04)	(6.430442e-02 6.430443e-02 -6.692878e-04)	(-6.191649e-07 -6.170537e-07 4.512009e-04)
0.0019        	(6.813891e-02 6.813891e-02 -2.007348e-04)	(6.813952e-02 6.813953e-02 -6.776068e-04)	(-6.165385e-07 -6.142395e-07 4.768720e-04)
0.002         	(7.200598e-02 7.200600e-02 -1.814203e-04)	(7.200661e-02 7.200662e-02 -6.837450e-04)	(-6.251033e-07 -6.225519e-07 5.023247e-04)
0.0021        	(7.583614e-02 7.583618e-02 -1.604861e-04)	(7.583678e-02 7.583682e-02 -6.880007e-04)	(-6.425655e-07 -6.393356e-07 5.275146e-04)
0.0022        	(7.973074e-02 7.973075e-02 -1.380984e-04)	(7.973140e-02 7.973142e-02 -6.903079e-04)	(-6.657875e-07 -6.619113e-07 5.522095e-04)
0.0023        	(8.357546e-02 8.357545e-02 -1.148909e-04)	(8.357615e-02 8.357614e-02 -6.915192e-04)	(-6.935148e-07 -6.894238e-07 5.766283e-04)
0.0024        	(8.740039e-02 8.740038e-02 -9.076063e-05)	(8.740111e-02 8.740110e-02 -6.914281e-04)	(-7.238305e-07 -7.194106e-07 6.006675e-04)
0.0025        	(9.130925e-02 9.130922e-02 -6.628089e-05)	(9.131001e-02 9.130997e-02 -6.902950e-04)	(-7.542724e-07 -7.495131e-07 6.240141e-04)
0.0026        	(9.512760e-02 9.512757e-02 -4.183184e-05)	(9.512839e-02 9.512835e-02 -6.887219e-04)	(-7.850237e-07 -7.796200e-07 6.468900e-04)
0.0027        	(9.893733e-02 9.893729e-02 -1.765872e-05)	(9.893814e-02 9.893810e-02 -6.866010e-04)	(-8.136219e-07 -8.082677e-07 6.689423e-04)
0.0028        	(1.027386e-01 1.027385e-01 5.958656e-06)	(1.027394e-01 1.027394e-01 -6.840837e-04)	(-8.392983e-07 -8.342406e-07 6.900423e-04)
0.0029        	(1.065100e-01 1.065100e-01 2.925174e-05)	(1.065109e-01 1.065109e-01 -6.811840e-04)	(-8.627140e-07 -8.580888e-07 7.104358e-04)
0.003         	(1.102880e-01 1.102880e-01 5.131291e-05)	(1.102889e-01 1.102888e-01 -6.783157e-04)	(-8.821365e-07 -8.781545e-07 7.296286e-04)
0.0031        	(1.033502e-01 1.033501e-01 5.668544e-04)	(1.033509e-01 1.033508e-01 -1.577669e-04)	(-7.039600e-07 -7.020705e-07 7.246213e-04)
0.0032        	(1.042049e-01 1.042049e-01 6.400007e-04)	(1.042057e-01 1.042056e-01 -7.804322e-05)	(-7.541511e-07 -7.550096e-07 7.180439e-04)
0.0033        	(1.060121e-01 1.060120e-01 6.592604e-04)	(1.060128e-01 1.060128e-01 -5.097876e-05)	(-7.930416e-07 -7.974777e-07 7.102391e-04)
